noc_code,Occupation Name (Unit Group),Skill Type,Major Group,Minor Group,Skill Level,Total Employed (Canada 2015),Median Income (Canada 2015),Average Income (Canada 2015),Total Employed (Ontario 2015),Median Income (Ontario 2015),Average Income (Ontario 2015),Average Income Difference,Average Income Canadian Ratio,Future Labour Market Conditions (National 2013-2026)
0621,Retail and wholesale trade managers,0 Management occupations,06 Middle management occupations in retail and wholesale trade and customer services,062 Retail and wholesale trade managers,A,388055,43259,58566,147970,43840,59372,806,0.013762251135471092,Balance
0631,Restaurant and food service managers,0 Management occupations,06 Middle management occupations in retail and wholesale trade and customer services,063 Managers in food service and accommodation,A,126415,30703,37805,50240,30053,37634,-171,-0.004523211215447692,Balance
0632,Accommodation service managers,0 Management occupations,06 Middle management occupations in retail and wholesale trade and customer services,063 Managers in food service and accommodation,A,25555,34804,45340,7985,34666,50195,4855,0.10707984119982356,Balance
0651,"Managers in customer and personal services, n.e.c.",0 Management occupations,06 Middle management occupations in retail and wholesale trade and customer services,"065 Managers in customer and personal services, n.e.c.",A,26665,29041,37778,10915,27013,36820,-958,-0.025358674360739054,Balance
0711,Construction managers,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",071 Managers in construction and facility operation and maintenance,A,82170,67891,83960,28805,62740,74728,-9232,-0.10995712243925679,Balance
0712,Home building and renovation managers,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",071 Managers in construction and facility operation and maintenance,A,45745,24522,38596,20480,22067,38226,-370,-0.009586485646180951,Balance
0714,Facility operation and maintenance managers,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",071 Managers in construction and facility operation and maintenance,A,57640,60524,73307,23140,60138,68328,-4979,-0.0679198439439617,Surplus
0731,Managers in transportation,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",073 Managers in transportation,A,34720,72139,85350,13730,68520,80188,-5162,-0.060480374926772114,Balance
0811,Managers in natural resources production and fishing,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",081 Managers in natural resources production and fishing,A,12780,130555,163423,1860,113218,140199,-23224,-0.14210973975511404,Balance
0821,Managers in agriculture,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities","082 Managers in agriculture, horticulture and aquaculture",A,144975,18322,28130,35540,15011,24837,-3293,-0.11706363313188767,NA
0822,Managers in horticulture,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities","082 Managers in agriculture, horticulture and aquaculture",A,4930,25691,36914,1860,37599,45707,8793,0.2382023080673999,NA
0823,Managers in aquaculture,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities","082 Managers in agriculture, horticulture and aquaculture",A,1240,47082,48566,105,14961,26892,-21674,-0.4462792900382984,NA
0911,Manufacturing managers,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",091 Managers in manufacturing and utilities,A,69755,74950,96237,29960,78129,99737,3500,0.03636854847927512,NA
0912,Utilities managers,0 Management occupations,"07-09 Middle management occupations in trades, transportation, production and utilities",091 Managers in manufacturing and utilities,A,10280,111971,135102,3585,112282,124146,-10956,-0.0810942843185149,NA
1111,Financial auditors and accountants,"1 Business, finance and administration occupations",11 Professional occupations in business and finance,"111 Auditors, accountants and investment professionals",A,200285,58535,76615,75960,61039,81258,4643,0.060601709847941006,Balance
1112,Financial and investment analysts,"1 Business, finance and administration occupations",11 Professional occupations in business and finance,"111 Auditors, accountants and investment professionals",A,53315,70440,129352,28415,71909,141862,12510,0.0967128455686808,Balance
1113,"Securities agents, investment dealers and brokers","1 Business, finance and administration occupations",11 Professional occupations in business and finance,"111 Auditors, accountants and investment professionals",A,14395,56085,133146,7285,60720,153288,20142,0.15127754495065568,Balance
1114,Other financial officers,"1 Business, finance and administration occupations",11 Professional occupations in business and finance,"111 Auditors, accountants and investment professionals",A,114650,57469,89111,49900,58785,94634,5523,0.06197888027291805,Balance
1121,Human resources professionals,"1 Business, finance and administration occupations",11 Professional occupations in business and finance,112 Human resources and business service professionals,A,76575,63960,71526,30550,65376,74538,3012,0.04211056119453066,Balance
1122,Professional occupations in business management consulting,"1 Business, finance and administration occupations",11 Professional occupations in business and finance,112 Human resources and business service professionals,A,78210,64915,80383,37820,66967,86865,6482,0.08063894106962916,Balance
1123,"Professional occupations in advertising, marketing and public relations","1 Business, finance and administration occupations",11 Professional occupations in business and finance,112 Human resources and business service professionals,A,94945,47076,55183,43385,47838,57056,1873,0.03394161245311056,Balance
1211,"Supervisors, general office and administrative support workers","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,121 Administrative services supervisors,B,13410,58968,62704,4635,60101,62904,200,0.003189589180913498,Surplus
1212,"Supervisors, finance and insurance office workers","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,121 Administrative services supervisors,B,19645,58477,65912,8135,59106,68197,2285,0.03466743536836995,Balance
1213,"Supervisors, library, correspondence and related information workers","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,121 Administrative services supervisors,B,4155,19853,31365,1740,14143,30225,-1140,-0.03634624581539933,Balance
