noc_code,Occupation Name (Unit Group),Skill Type,Major Group,Minor Group,Skill Level,Total Employed (Canada 2015),Median Income (Canada 2015),Average Income (Canada 2015),Total Employed (Ontario 2015),Median Income (Ontario 2015),Average Income (Ontario 2015),Average Income Difference,Average Income Canadian Ratio,Future Labour Market Conditions (National 2013-2026)
2224,Conservation and fishery officers,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,222 Technical occupations in life sciences,B,5310,56877,54107,1015,46200,49051,-5056,-0.09344447114051786,NA
2225,Landscape and horticulture technicians and specialists,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,222 Technical occupations in life sciences,B,19495,25812,32438,6815,29743,34815,2377,0.07327825389974721,Surplus
2231,Civil engineering technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"223 Technical occupations in civil, mechanical and industrial engineering",B,24440,55475,58598,6905,54527,57020,-1578,-0.026929246731970374,Balance
2232,Mechanical engineering technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"223 Technical occupations in civil, mechanical and industrial engineering",B,21820,63073,66178,9185,63756,65539,-639,-0.009655776844268488,Shortage
2233,Industrial engineering and manufacturing technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"223 Technical occupations in civil, mechanical and industrial engineering",B,17875,56091,59495,8355,56548,57508,-1987,-0.03339776451802672,Shortage
2234,Construction estimators,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"223 Technical occupations in civil, mechanical and industrial engineering",B,21890,61653,73043,7735,61405,70840,-2203,-0.030160316525882015,Balance
2241,Electrical and electronics engineering technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,224 Technical occupations in electronics and electrical engineering,B,44490,60536,64687,16465,57174,61023,-3664,-0.05664198370615425,Balance
2242,Electronic service technicians (household and business equipment),2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,224 Technical occupations in electronics and electrical engineering,B,50655,43969,45893,21875,42732,44758,-1135,-0.024731440524698757,Balance
2243,Industrial instrument technicians and mechanics,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,224 Technical occupations in electronics and electrical engineering,B,9800,85957,94156,1700,80400,80930,-13226,-0.14046900887888186,Balance
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,224 Technical occupations in electronics and electrical engineering,B,6360,70709,70068,2030,69195,67086,-2982,-0.042558657304332934,NA
2251,Architectural technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",B,10530,48012,50933,4115,49064,50908,-25,-4.908409086446901e-4,NA
2252,Industrial designers,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",B,8805,49371,54828,3490,53011,57804,2976,0.0542788356314292,NA
2253,Drafting technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",B,28260,48347,52164,8025,47903,49926,-2238,-0.04290315159880377,NA
2254,Land survey technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",B,5115,42704,46265,840,35961,41076,-5189,-0.11215821895601427,NA
2255,Technical occupations in geomatics and meteorology,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,"225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",B,8915,60071,60935,2575,60546,56537,-4398,-0.0721752687289735,NA
2261,Non-destructive testers and inspection technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,226 Other technical inspectors and regulatory officers,B,7215,72258,81601,1695,67166,71438,-10163,-0.1245450423401674,Balance
2262,Engineering inspectors and regulatory officers,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,226 Other technical inspectors and regulatory officers,B,5765,73567,78578,1815,69528,71119,-7459,-0.09492478810863092,NA
2263,Inspectors in public and environmental health and occupational health and safety,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,226 Other technical inspectors and regulatory officers,B,34565,68620,71868,10890,71132,68436,-3432,-0.04775421606278177,NA
2264,Construction inspectors,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,226 Other technical inspectors and regulatory officers,B,15925,61134,63545,5295,60672,59797,-3748,-0.058981823904319775,Balance
2271,"Air pilots, flight engineers and flying instructors",2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,227 Transportation officers and controllers,B,17370,91096,107299,5595,97445,111807,4508,0.04201343908144531,NA
2272,Air traffic controllers and related occupations,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,227 Transportation officers and controllers,B,4735,95392,110913,1230,102797,113146,2233,0.02013289695527125,NA
2273,"Deck officers, water transport",2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,227 Transportation officers and controllers,B,5675,78443,88001,840,65301,73458,-14543,-0.16525948568766263,NA
2274,"Engineer officers, water transport",2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,227 Transportation officers and controllers,B,2440,85247,90115,310,85354,85116,-4999,-0.0554735615602286,NA
2275,Railway traffic controllers and marine traffic regulators,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,227 Transportation officers and controllers,B,1555,88568,83410,540,78394,73138,-10272,-0.12315070135475363,NA
2281,Computer network technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,228 Technical occupations in computer and information systems,B,67620,59364,61327,26680,62051,61996,669,0.010908735141128703,Balance
2282,User support technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,228 Technical occupations in computer and information systems,B,43820,50763,54204,18865,53522,56694,2490,0.04593756918308612,Surplus
2283,Information systems testing technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,228 Technical occupations in computer and information systems,B,9925,51064,51809,5030,59433,58043,6234,0.1203265841842151,NA
3011,Nursing co-ordinators and supervisors,3 Health occupations,30 Professional occupations in nursing,301 Professional occupations in nursing,A,16840,75935,70516,6455,72929,66789,-3727,-0.05285325316240286,Balance
3012,Registered nurses and registered psychiatric nurses,3 Health occupations,30 Professional occupations in nursing,301 Professional occupations in nursing,A,301070,67297,64924,105800,69339,66768,1844,0.028402439775737785,Shortage
3111,Specialist physicians,3 Health occupations,31 Professional occupations in health (except nursing),"311 Physicians, dentists and veterinarians",A,42035,122002,162521,16155,110718,146496,-16025,-0.09860264212009524,Shortage
3112,General practitioners and family physicians,3 Health occupations,31 Professional occupations in health (except nursing),"311 Physicians, dentists and veterinarians",A,51945,89733,120914,20475,86165,117677,-3237,-0.026771093504474253,Shortage
3113,Dentists,3 Health occupations,31 Professional occupations in health (except nursing),"311 Physicians, dentists and veterinarians",A,18945,98582,119223,7955,90397,113188,-6035,-0.050619427459466716,Shortage
3114,Veterinarians,3 Health occupations,31 Professional occupations in health (except nursing),"311 Physicians, dentists and veterinarians",A,9705,71519,76135,3645,69879,75417,-718,-0.009430616667761214,Balance
3121,Optometrists,3 Health occupations,31 Professional occupations in health (except nursing),"312 Optometrists, chiropractors and other health diagnosing and treating professionals",A,5230,75461,83223,2070,73088,84864,1641,0.019718106773367938,NA
3122,Chiropractors,3 Health occupations,31 Professional occupations in health (except nursing),"312 Optometrists, chiropractors and other health diagnosing and treating professionals",A,7380,51729,61179,3640,49202,57098,-4081,-0.06670589581392308,NA
3124,Allied primary health practitioners,3 Health occupations,31 Professional occupations in health (except nursing),"312 Optometrists, chiropractors and other health diagnosing and treating professionals",A,7245,88008,79398,4175,89267,80516,1118,0.014080959218116326,NA
3125,Other professional occupations in health diagnosing and treating,3 Health occupations,31 Professional occupations in health (except nursing),"312 Optometrists, chiropractors and other health diagnosing and treating professionals",A,5555,33335,43334,1950,36296,47346,4012,0.09258319102783034,NA
3131,Pharmacists,3 Health occupations,31 Professional occupations in health (except nursing),"313 Pharmacists, dietitians and nutritionists",A,37415,92449,88903,13205,87452,83144,-5759,-0.06477846641845607,Balance
3132,Dietitians and nutritionists,3 Health occupations,31 Professional occupations in health (except nursing),"313 Pharmacists, dietitians and nutritionists",A,11880,52204,51448,4400,51486,50404,-1044,-0.020292334007152853,Balance
3141,Audiologists and speech-language pathologists,3 Health occupations,31 Professional occupations in health (except nursing),314 Therapy and assessment professionals,A,10880,64294,62507,3780,68553,66154,3647,0.058345465307885515,Shortage
3142,Physiotherapists,3 Health occupations,31 Professional occupations in health (except nursing),314 Therapy and assessment professionals,A,24195,59446,58595,8625,61459,59236,641,0.010939499957334243,Shortage
3143,Occupational therapists,3 Health occupations,31 Professional occupations in health (except nursing),314 Therapy and assessment professionals,A,15535,62921,59085,5115,62746,58824,-261,-0.004417364813404418,Shortage
3144,Other professional occupations in therapy and assessment,3 Health occupations,31 Professional occupations in health (except nursing),314 Therapy and assessment professionals,A,11185,32822,35802,4165,33133,34649,-1153,-0.03220490475392436,NA
3211,Medical laboratory technologists,3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,20890,63316,61792,7420,73678,66586,4794,0.0775828586224754,Balance
3212,Medical laboratory technicians and pathologists' assistants,3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,23365,42646,42050,8065,40708,40802,-1248,-0.029678953626634957,NA
3213,Animal health technologists and veterinary technicians,3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,15995,29347,29917,5965,29354,29728,-189,-0.006317478356787111,Surplus
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,11475,65122,65594,3295,76382,71425,5831,0.08889532579199318,Shortage
3215,Medical radiation technologists,3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,20210,62501,62884,6780,74152,70186,7302,0.11611856752115006,NA
3216,Medical sonographers,3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,5290,68747,65656,2885,67518,62887,-2769,-0.04217436334836115,NA
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,3005,51125,49185,1120,50381,47976,-1209,-0.024580664836840502,Balance
3219,Other medical technologists and technicians (except dental health),3 Health occupations,32 Technical occupations in health,321 Medical technologists and technicians (except dental health),B,51710,30179,32005,17770,31805,34135,2130,0.06655210123418216,NA
3221,Denturists,3 Health occupations,32 Technical occupations in health,322 Technical occupations in dental health care,B,2315,46722,57734,660,40331,48578,-9156,-0.15858939273218553,NA
3222,Dental hygienists and dental therapists,3 Health occupations,32 Technical occupations in health,322 Technical occupations in dental health care,B,26720,49305,49721,11555,47457,46418,-3303,-0.06643068321232477,NA
3223,"Dental technologists, technicians and laboratory assistants",3 Health occupations,32 Technical occupations in health,322 Technical occupations in dental health care,B,5725,42113,46385,2100,42247,48390,2005,0.043225180554058426,NA
3231,Opticians,3 Health occupations,32 Technical occupations in health,323 Other technical occupations in health care,B,8780,43402,44172,3085,47557,47380,3208,0.07262519242959341,Shortage
3232,Practitioners of natural healing,3 Health occupations,32 Technical occupations in health,323 Other technical occupations in health care,B,8965,14418,21777,3315,13220,20372,-1405,-0.06451761032281765,Shortage
3233,Licensed practical nurses,3 Health occupations,32 Technical occupations in health,323 Other technical occupations in health care,B,72765,45869,44265,22400,47480,44452,187,0.004224556647464136,Shortage
3234,Paramedical occupations,3 Health occupations,32 Technical occupations in health,323 Other technical occupations in health care,B,28205,69752,68917,9835,86542,80001,11084,0.1608311447103037,Balance
3236,Massage therapists,3 Health occupations,32 Technical occupations in health,323 Other technical occupations in health care,B,32800,20095,24683,11040,22125,25128,445,0.01802860268200786,NA
3237,Other technical occupations in therapy and assessment,3 Health occupations,32 Technical occupations in health,323 Other technical occupations in health care,B,11520,32342,35493,5485,30370,33121,-2372,-0.06683007917054067,NA
3411,Dental assistants,3 Health occupations,34 Assisting occupations in support of health services,341 Assisting occupations in support of health services,C,34180,34420,34541,13300,33794,33314,-1227,-0.03552300165021279,Surplus
3413,"Nurse aides, orderlies and patient service associates",3 Health occupations,34 Assisting occupations in support of health services,341 Assisting occupations in support of health services,C,259000,32530,32305,87645,33607,33171,866,0.02680699582108033,Balance
3414,Other assisting occupations in support of health services,3 Health occupations,34 Assisting occupations in support of health services,341 Assisting occupations in support of health services,C,36240,32465,33775,11955,32528,33756,-19,-5.625462620281273e-4,NA
4011,University professors and lecturers,"4 Occupations in education, law and social, community and government services",40 Professional occupations in education services,401 University professors and post-secondary assistants,A,72395,94228,93374,26790,98822,97384,4010,0.042945573714310195,Balance
4012,Post-secondary teaching and research assistants,"4 Occupations in education, law and social, community and government services",40 Professional occupations in education services,401 University professors and post-secondary assistants,A,77590,10779,21055,33700,10649,18976,-2079,-0.09874139159344573,Balance
4021,College and other vocational instructors,"4 Occupations in education, law and social, community and government services",40 Professional occupations in education services,402 College and other vocational instructors,A,95525,58797,57831,30820,52378,56990,-841,-0.014542373467517421,Balance
4031,Secondary school teachers,"4 Occupations in education, law and social, community and government services",40 Professional occupations in education services,403 Secondary and elementary school teachers and educational counsellors,A,168075,71795,64534,66025,81051,69743,5209,0.08071714135184554,Balance
4032,Elementary school and kindergarten teachers,"4 Occupations in education, law and social, community and government services",40 Professional occupations in education services,403 Secondary and elementary school teachers and educational counsellors,A,296085,63983,59337,129510,69060,63091,3754,0.06326575323996832,Balance
4033,Educational counsellors,"4 Occupations in education, law and social, community and government services",40 Professional occupations in education services,403 Secondary and elementary school teachers and educational counsellors,A,23500,55909,55078,7970,53398,53636,-1442,-0.02618105232579251,Balance
4111,Judges,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","411 Judges, lawyers and Quebec notaries",A,3310,259603,228412,955,293664,242613,14201,0.062172740486489325,NA
4112,Lawyers and Quebec notaries,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","411 Judges, lawyers and Quebec notaries",A,89230,97589,140926,38660,108330,163697,22771,0.16158125541064106,NA
4151,Psychologists,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services",415 Social and community service professionals,A,23485,55926,59461,7845,52942,61697,2236,0.03760448024755722,Shortage
4152,Social workers,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services",415 Social and community service professionals,A,60355,59342,57328,23580,60484,58834,1506,0.026269885570750766,Balance
4153,"Family, marriage and other related counsellors","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services",415 Social and community service professionals,A,26455,47050,47119,8225,44878,43867,-3252,-0.069016744837539,Balance
4154,Professional occupations in religion,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services",415 Social and community service professionals,A,29485,44463,45609,12690,45857,47014,1405,0.030805323510710605,Balance
4155,Probation and parole officers and related occupations,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services",415 Social and community service professionals,A,5985,73099,68004,2040,75907,69728,1724,0.0253514499147109,NA
4156,Employment counsellors,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services",415 Social and community service professionals,A,14340,43634,44671,5610,45155,44957,286,0.006402363949766067,Balance
4161,"Natural and applied science policy researchers, consultants and program officers","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,27035,71515,73977,10435,75941,74797,820,0.011084526271679036,Balance
4162,Economists and economic policy researchers and analysts,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,18595,79348,95672,10070,82574,98884,3212,0.03357304122418262,Balance
4163,Business development officers and marketing researchers and consultants,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,64170,53812,66565,31720,54069,68546,1981,0.029760384586494402,NA
4164,"Social policy researchers, consultants and program officers","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,33860,61759,61756,14555,66336,64371,2615,0.042344063734697845,Balance
4165,"Health policy researchers, consultants and program officers","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,33475,61344,63910,16135,61720,65868,1958,0.0306368330464716,NA
4166,"Education policy researchers, consultants and program officers","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,24165,58194,57621,8870,57389,57656,35,6.074174346158518e-4,Balance
4167,"Recreation, sports and fitness policy researchers, consultants and program officers","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,10850,42477,45198,4195,43240,46100,902,0.019956635249347317,NA
4168,Program officers unique to government,"4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,22215,50946,50747,9565,63325,58097,7350,0.14483614794963248,Surplus
4169,"Other professional occupations in social science, n.e.c.","4 Occupations in education, law and social, community and government services","41 Professional occupations in law and social, community and government services","416 Policy and program researchers, consultants and officers",A,6260,48651,51223,2520,48448,51815,592,0.011557308240438866,NA
4211,Paralegal and related occupations,"4 Occupations in education, law and social, community and government services","42 Paraprofessional occupations in legal, social, community and education services","421 Paraprofessional occupations in legal, social, community and education services",B,29255,46555,49046,15925,46250,48877,-169,-0.003445744810993761,Balance
4212,Social and community service workers,"4 Occupations in education, law and social, community and government services","42 Paraprofessional occupations in legal, social, community and education services","421 Paraprofessional occupations in legal, social, community and education services",B,147310,37755,38503,54205,41914,41488,2985,0.07752642651221983,Balance
4214,Early childhood educators and assistants,"4 Occupations in education, law and social, community and government services","42 Paraprofessional occupations in legal, social, community and education services","421 Paraprofessional occupations in legal, social, community and education services",B,202765,24613,25367,63810,27103,27042,1675,0.06603066976780857,Balance
4215,Instructors of persons with disabilities,"4 Occupations in education, law and social, community and government services","42 Paraprofessional occupations in legal, social, community and education services","421 Paraprofessional occupations in legal, social, community and education services",B,21645,39412,38926,3315,40482,41952,3026,0.07773724502902944,Balance
4216,Other instructors,"4 Occupations in education, law and social, community and government services","42 Paraprofessional occupations in legal, social, community and education services","421 Paraprofessional occupations in legal, social, community and education services",B,29385,11630,21442,12260,9171,17668,-3774,-0.17600970058763174,Balance
4217,Other religious occupations,"4 Occupations in education, law and social, community and government services","42 Paraprofessional occupations in legal, social, community and education services","421 Paraprofessional occupations in legal, social, community and education services",B,8315,22587,28854,2955,19202,27693,-1161,-0.04023705552089832,NA
4311,Police officers (except commissioned),"4 Occupations in education, law and social, community and government services",43 Occupations in front-line public protection services,431 Occupations in front-line public protection services,B,78680,99419,95614,30740,104812,101621,6007,0.06282552764239546,Balance
4312,Firefighters,"4 Occupations in education, law and social, community and government services",43 Occupations in front-line public protection services,431 Occupations in front-line public protection services,B,33735,96989,90736,12875,100158,95075,4339,0.04782004937400811,Balance
4313,Non-commissioned ranks of the Canadian Armed Forces,"4 Occupations in education, law and social, community and government services",43 Occupations in front-line public protection services,431 Occupations in front-line public protection services,B,47695,64048,59020,15765,63606,58978,-42,-7.11623178583531e-4,NA
4411,Home child care providers,"4 Occupations in education, law and social, community and government services","44 Care providers and educational, legal and public protection support occupations",441 Home care providers and educational support occupations,C,84855,12688,15766,36090,12425,15648,-118,-0.00748446023087657,Balance
4412,"Home support workers, housekeepers and related occupations","4 Occupations in education, law and social, community and government services","44 Care providers and educational, legal and public protection support occupations",441 Home care providers and educational support occupations,C,101220,21847,24366,36940,23893,25634,1268,0.052039727489124186,Balance
4413,Elementary and secondary school teacher assistants,"4 Occupations in education, law and social, community and government services","44 Care providers and educational, legal and public protection support occupations",441 Home care providers and educational support occupations,C,129025,23973,24449,46775,26903,25331,882,0.036075095095913945,Balance
4421,Sheriffs and bailiffs,"4 Occupations in education, law and social, community and government services","44 Care providers and educational, legal and public protection support occupations",442 Legal and public protection support occupations,C,3065,57336,54701,510,31163,37771,-16930,-0.3095007403886583,NA
4422,Correctional service officers,"4 Occupations in education, law and social, community and government services","44 Care providers and educational, legal and public protection support occupations",442 Legal and public protection support occupations,C,24150,72483,69184,6735,77353,73658,4474,0.06466813135985199,NA
4423,"By-law enforcement and other regulatory officers, n.e.c.","4 Occupations in education, law and social, community and government services","44 Care providers and educational, legal and public protection support occupations",442 Legal and public protection support occupations,C,10345,57488,57799,4655,66011,62588,4789,0.08285610477689925,NA
5111,Librarians,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"511 Librarians, archivists, conservators and curators",A,9570,59726,59020,4140,63199,62632,3612,0.06119959335818367,NA
5112,Conservators and curators,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"511 Librarians, archivists, conservators and curators",A,1995,49597,48189,900,51638,49841,1652,0.034281682541658885,NA
5113,Archivists,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"511 Librarians, archivists, conservators and curators",A,1950,48977,47116,595,52185,50711,3595,0.07630104423125902,NA
5121,Authors and writers,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"512 Writing, translating and related communications professionals",A,26215,28373,38363,12320,30504,41623,3260,0.08497771290045096,Surplus
5122,Editors,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"512 Writing, translating and related communications professionals",A,17570,39062,42710,8170,41487,44449,1739,0.04071645984546945,NA
5123,Journalists,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"512 Writing, translating and related communications professionals",A,12090,45041,51005,4475,46210,54579,3574,0.0700715616116067,NA
5125,"Translators, terminologists and interpreters","5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,"512 Writing, translating and related communications professionals",A,17420,28966,34665,4955,22254,29443,-5222,-0.15064185778162412,Balance
5131,"Producers, directors, choreographers and related occupations","5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,513 Creative and performing artists,A,26220,45313,54022,11145,47979,56543,2521,0.04666617304061308,Balance
5132,"Conductors, composers and arrangers","5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,513 Creative and performing artists,A,3980,17281,29340,1695,17794,32479,3139,0.10698704839809134,NA
5133,Musicians and singers,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,513 Creative and performing artists,A,33465,11435,18900,13535,10387,17129,-1771,-0.0937037037037037,Balance
5134,Dancers,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,513 Creative and performing artists,A,9785,10535,15975,3815,9996,16402,427,0.02672926447574335,NA
5135,Actors and comedians,"5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,513 Creative and performing artists,A,12575,9438,20286,5515,9103,18838,-1448,-0.07137927634822044,NA
5136,"Painters, sculptors and other visual artists","5 Occupations in art, culture, recreation and sport",51 Professional occupations in art and culture,513 Creative and performing artists,A,19290,10769,20274,6715,9227,18271,-2003,-0.0987964881128539,NA
5211,Library and public archive technicians,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","521 Technical occupations in libraries, public archives, museums and art galleries",B,10110,37336,37302,3645,41448,41235,3933,0.10543670580665916,NA
5212,Technical occupations related to museums and art galleries,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","521 Technical occupations in libraries, public archives, museums and art galleries",B,8535,12017,19649,2920,11542,19918,269,0.013690264135579418,NA
5221,Photographers,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,17060,12873,20967,7155,12422,20906,-61,-0.002909333714885296,Balance
5222,Film and video camera operators,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,5180,34074,40067,2120,27709,36736,-3331,-0.08313574762273192,Balance
5223,Graphic arts technicians,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,8930,38658,46180,1665,39921,47046,866,0.018752706799480295,NA
5224,Broadcast technicians,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,2150,58880,57276,1175,60988,59213,1937,0.03381870242335359,NA
5225,Audio and video recording technicians,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,12980,40056,46342,4805,39653,46843,501,0.010810927452418972,NA
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,15050,42305,49157,5185,45791,52125,2968,0.0603779726183453,NA
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts","5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,10790,31077,38724,4185,29979,39679,955,0.024661708501187894,NA
5231,Announcers and other broadcasters,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","523 Announcers and other performers, n.e.c.",B,5905,36649,51598,2040,35670,53617,2019,0.03912942362107059,NA
5232,"Other performers, n.e.c.","5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","523 Announcers and other performers, n.e.c.",B,6370,11200,21828,2580,9664,22654,826,0.03784130474619755,NA
5241,Graphic designers and illustrators,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport",524 Creative designers and craftspersons,B,60105,35988,39966,26410,37144,41222,1256,0.03142671270579993,Shortage
5242,Interior designers and interior decorators,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport",524 Creative designers and craftspersons,B,24570,29902,36173,10295,30662,37908,1735,0.04796395101318663,Shortage
5243,"Theatre, fashion, exhibit and other creative designers","5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport",524 Creative designers and craftspersons,B,14180,29880,38715,5205,27703,37246,-1469,-0.03794394937362779,Balance
5244,Artisans and craftspersons,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport",524 Creative designers and craftspersons,B,13815,12480,19048,5030,14311,20080,1032,0.054178916421671566,NA
5245,"Patternmakers - textile, leather and fur products","5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport",524 Creative designers and craftspersons,B,1015,38947,42875,230,23950,35609,-7266,-0.16946938775510204,NA
5251,Athletes,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","525 Athletes, coaches, referees and related occupations",B,2800,17210,150170,995,16046,141265,-8905,-0.059299460611307184,NA
5252,Coaches,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","525 Athletes, coaches, referees and related occupations",B,10795,21869,33778,3445,21561,32874,-904,-0.02676298182248801,NA
5253,Sports officials and referees,"5 Occupations in art, culture, recreation and sport","52 Technical occupations in art, culture, recreation and sport","525 Athletes, coaches, referees and related occupations",B,4610,2786,10275,1620,3654,11743,1468,0.14287104622871047,NA
